"FiltroId","CamadaId","Filtro","Titulo","Tipo","TextoBase"
"20026","5","Chondrichthyes","Guia de Chondrichthyes","Texto introdutorio","Chondrichthyes apresenta um grupo de peixes cartilaginosos ou seus parentes proximos. Explique forma do corpo, habitat, alimentacao e exemplos conhecidos."
"20027","5","Osteichthyes","Guia de Osteichthyes","Texto introdutorio","Osteichthyes pode ser apresentado como parte da diversidade dos peixes osseos. Inclua caracteristicas, especies comuns, ambiente e importancia para ecossistemas aquaticos."
"20087","5","Classe Amphibia","Guia de Classe Amphibia","Texto introdutorio","Classe Amphibia ajuda a mostrar a diversidade dos anfibios. Fale sobre ciclo de vida, dependencia de umidade, vocalizacao, defesa e exemplos de especies."
"20110","5","Classe Reptilia","Guia de Classe Reptilia","Texto introdutorio","Classe Reptilia deve destacar adaptacoes dos repteis, como escamas, reproducao, locomocao, dieta e relacao com ambientes terrestres ou aquaticos."
"20132","5","Classe Aves","Guia de Classe Aves","Texto introdutorio","Classe Aves pode explorar bicos, penas, voo, alimentacao, comportamento e exemplos de aves brasileiras ou facilmente reconhecidas."
"20145","5","Classe Mammalia","Guia de Classe Mammalia","Texto introdutorio","Classe Mammalia introduz um ramo dos mamiferos. Aborde pelos, reproducao, alimentacao, comportamento social, habitat e especies representativas."
"20028","6","Elasmobranchii","Guia de Elasmobranchii","Resumo visual","Elasmobranchii apresenta um grupo de peixes cartilaginosos ou seus parentes proximos. Explique forma do corpo, habitat, alimentacao e exemplos conhecidos."
"20029","6","Holocephali","Guia de Holocephali","Resumo visual","Holocephali apresenta um grupo de peixes cartilaginosos ou seus parentes proximos. Explique forma do corpo, habitat, alimentacao e exemplos conhecidos."
"20046","6","Actinopterygii","Guia de Actinopterygii","Resumo visual","Actinopterygii pode ser apresentado como parte da diversidade dos peixes osseos. Inclua caracteristicas, especies comuns, ambiente e importancia para ecossistemas aquaticos."
"20047","6","Sarcopterygii","Guia de Sarcopterygii","Resumo visual","Sarcopterygii pode ser apresentado como parte da diversidade dos peixes osseos. Inclua caracteristicas, especies comuns, ambiente e importancia para ecossistemas aquaticos."
"20088","6","Lissamphibia","Guia de Lissamphibia","Resumo visual","Lissamphibia ajuda a mostrar a diversidade dos anfibios. Fale sobre ciclo de vida, dependencia de umidade, vocalizacao, defesa e exemplos de especies."
"20111","6","Diapsida","Guia de Diapsida","Resumo visual","Diapsida deve destacar adaptacoes dos repteis, como escamas, reproducao, locomocao, dieta e relacao com ambientes terrestres ou aquaticos."
"20112","6","Anapsida","Guia de Anapsida","Resumo visual","Anapsida deve destacar adaptacoes dos repteis, como escamas, reproducao, locomocao, dieta e relacao com ambientes terrestres ou aquaticos."
"20133","6","Neornithes","Guia de Neornithes","Resumo visual","Neornithes pode explorar bicos, penas, voo, alimentacao, comportamento e exemplos de aves brasileiras ou facilmente reconhecidas."
"20146","6","Prototheria","Guia de Prototheria","Resumo visual","Prototheria introduz um ramo dos mamiferos. Aborde pelos, reproducao, alimentacao, comportamento social, habitat e especies representativas."
"20147","6","Theria","Guia de Theria","Resumo visual","Theria introduz um ramo dos mamiferos. Aborde pelos, reproducao, alimentacao, comportamento social, habitat e especies representativas."
"20030","7","Selachii","Guia de Selachii","Guia rapido","Selachii apresenta um grupo de peixes cartilaginosos ou seus parentes proximos. Explique forma do corpo, habitat, alimentacao e exemplos conhecidos."
"20031","7","Batoidea","Guia de Batoidea","Guia rapido","Batoidea apresenta um grupo de peixes cartilaginosos ou seus parentes proximos. Explique forma do corpo, habitat, alimentacao e exemplos conhecidos."
"20032","7","Quimeras","Guia de Quimeras","Guia rapido","Quimeras apresenta um grupo de peixes cartilaginosos ou seus parentes proximos. Explique forma do corpo, habitat, alimentacao e exemplos conhecidos."
"20048","7","Cladistia","Guia de Cladistia","Guia rapido","Cladistia pode ser apresentado como parte da diversidade dos peixes osseos. Inclua caracteristicas, especies comuns, ambiente e importancia para ecossistemas aquaticos."
"20049","7","Chondrostei","Guia de Chondrostei","Guia rapido","Chondrostei pode ser apresentado como parte da diversidade dos peixes osseos. Inclua caracteristicas, especies comuns, ambiente e importancia para ecossistemas aquaticos."
"20050","7","Neopterygii","Guia de Neopterygii","Guia rapido","Neopterygii pode ser apresentado como parte da diversidade dos peixes osseos. Inclua caracteristicas, especies comuns, ambiente e importancia para ecossistemas aquaticos."
"20061","7","Coelacanthiformes","Guia de Coelacanthiformes","Guia rapido","Coelacanthiformes pode ser apresentado como parte da diversidade dos peixes osseos. Inclua caracteristicas, especies comuns, ambiente e importancia para ecossistemas aquaticos."
"20062","7","Ceratodontiformes","Guia de Ceratodontiformes","Guia rapido","Ceratodontiformes pode ser apresentado como parte da diversidade dos peixes osseos. Inclua caracteristicas, especies comuns, ambiente e importancia para ecossistemas aquaticos."
"20089","7","Anura","Guia de Anura","Guia rapido","Anura ajuda a mostrar a diversidade dos anfibios. Fale sobre ciclo de vida, dependencia de umidade, vocalizacao, defesa e exemplos de especies."
"20090","7","Caudata","Guia de Caudata","Guia rapido","Caudata ajuda a mostrar a diversidade dos anfibios. Fale sobre ciclo de vida, dependencia de umidade, vocalizacao, defesa e exemplos de especies."
"20091","7","Gymnophiona","Guia de Gymnophiona","Guia rapido","Gymnophiona ajuda a mostrar a diversidade dos anfibios. Fale sobre ciclo de vida, dependencia de umidade, vocalizacao, defesa e exemplos de especies."
